latitude,longitude
47.03084,27.98966
47.02471,28.00777
47.01555,28.03389
46.9911,28.07111
46.9836,28.07972
46.98054,28.08194
46.92027,28.10638
46.88777,28.11583
46.8544,28.11972
46.84943,28.11749
46.84137,28.11472
46.83721,28.11472
46.83388,28.11611
46.73972,28.17444
46.6986,28.20388
46.68221,28.2175
46.67249,28.22971
46.66666,28.23388
46.61582,28.24583
46.60444,28.24721
46.43582,28.2525
46.42083,28.24554
46.33027,28.1936
46.19054,28.13888
46.12472,28.11583
46.10229,28.10833
46.07583,28.09139
46.01166,28.08444
46.00417,28.08583
45.99165,28.09277
45.98888,28.09499
45.9661,28.10722
45.92193,28.12027
45.72166,28.16444
45.71804,28.16499
45.67027,28.16694
45.6661,28.16666
45.63193,28.1625
45.62804,28.1611
45.62499,28.1586
45.62305,28.155
45.62053,28.14566
45.62027,28.12888
45.58332,28.06916
45.46944,28.17694
45.45011,28.21131
45.44865,28.21484
45.45,28.2186
45.44921,28.22932
45.43555,28.27277
45.43082,28.27916
45.42804,28.28111
45.42137,28.28389
45.41387,28.28499
45.40942,28.28416
45.39694,28.28389
45.38944,28.28528
45.38277,28.28778
45.37027,28.29472
45.355,28.30361
45.34304,28.31194
45.33749,28.31667
45.325,28.33083
45.31554,28.34333
45.30055,28.37583
45.24276,28.57472
45.22082,28.68833
45.21999,28.69471
45.21999,28.70666
45.23,28.78528
45.23471,28.79722
45.23766,28.79962
45.24082,28.79972
45.30166,28.84861
45.32111,28.96805
45.42472,29.21722
45.42694,29.22611
45.43889,29.31889
45.43916,29.32416
45.43582,29.41139
45.41277,29.50333
45.4086,29.51833
45.39249,29.57194
45.38554,29.58944
45.37694,29.60333
45.35027,29.63694
45.3425,29.645
45.32777,29.655
45.30166,29.66722
45.28749,29.67083
45.27638,29.6725
45.26804,29.67194
45.2118,29.66433
45.21583,29.63221
45.21527,29.62694
45.21305,29.62388
45.20972,29.62499
45.17388,29.64111
45.11276,29.66028
44.98193,29.64138
44.85166,29.61305
44.84083,29.60749
44.83749,29.59972
44.82027,29.54944
44.80888,29.45083
44.80222,29.39
44.79972,29.35305
44.79972,29.33055
44.79583,29.25083
44.79305,29.21416
44.82276,29.06749
44.84248,29.05194
44.84554,29.05
44.85889,29.04499
44.91193,29.03833
44.92054,29.03944
44.92777,29.04277
44.93637,29.05111
44.94553,29.06389
44.94943,29.07111
44.95277,29.08472
44.95361,29.09528
44.95583,29.10416
44.96054,29.11027
44.96471,29.11166
44.96888,29.11194
44.97166,29.10972
44.97833,29.09944
45.00277,29.04722
45.00361,29.04166
45.0061,28.98999
45.0061,28.97971
45.00472,28.97555
44.96666,28.9
44.9486,28.87388
44.94305,28.86832
44.93971,28.86638
44.92777,28.86222
44.91916,28.86111
44.88165,28.86249
44.87832,28.86361
44.8736,28.86999
44.86527,28.89027
44.86111,28.89722
44.83027,28.945
